time,acc.x_y,time,acc.y_y,time,acc.z_y,time,gyro.x_y,time,gyro.y_y,time,gyro.z_y,avgx,avgy,avgz
1384655,-0.084562384,1384655,-0.094800636,1384655,0.885443747,1384655,-14.53094673,1384655,-18.58379745,1384655,-5.794025421,,,
1385155,-0.034891732,1385155,-0.028938817,1385155,1.07521069,1385155,10.92332363,1385155,3.783728361,1385155,1.018731475,,,
1385655,0.063956954,1385655,-0.001918697,1385655,1.122197986,1385655,-32.67000961,1385655,4.08578825,1385655,1.889863253,,,
1386155,-0.247398421,1386155,0.033282138,1386155,0.928198755,1386155,-5.900126457,1386155,8.012735367,1386155,0.681208968,,,
1386655,-0.132049739,1386655,-0.23255983,1386655,0.899518848,1386655,-15.01100349,1386655,2.575884104,1386655,-0.79167372,,,
1387155,-0.08886113,1387155,-0.22260496,1387155,0.884245098,1387155,-8.49557972,1387155,-15.63354683,1387155,1.832291007,,,
1387655,-0.147356093,1387655,0.061223879,1387655,0.922497094,1387655,-2.283978224,1387655,59.1447525,1387655,-0.262658119,,,
1388155,0.071167536,1388155,0.051325448,1388155,1.094719291,1388155,-21.09763145,1388155,-25.24944305,1388155,0.005014614,,,
1388655,0.022237942,1388655,0.006243944,1388655,0.871624589,1388655,-6.671753883,1388655,-11.00329971,1388655,3.269124508,,,
1389155,-0.098145969,1389155,-0.158212081,1389155,0.911120355,1389155,3.586300373,1389155,15.12715912,1389155,-1.53621316,,,
1389655,-0.070852727,1389655,-0.081800558,1389655,0.959903896,1389655,-13.89188576,1389655,-1.951891422,1389655,-2.540625095,,,
1390155,-0.099124029,1390155,-0.044092722,1390155,0.999768555,1390155,6.840768337,1390155,1.26007843,1390155,0.438913673,,,
1390655,-0.065014564,1390655,0.073983029,1390655,0.983559966,1390655,-5.819607258,1390655,1.147378683,1390655,-1.416892052,,,
1391155,0.157742292,1391155,0.132605225,1391155,1.126179814,1391155,-9.401712418,1391155,-31.02422333,1391155,-1.457469583,,,
1391655,-0.053194754,1391655,0.128048599,1391655,1.10149765,1391655,3.325466394,1391655,-7.954724312,1391655,0.412455052,,,
1392155,-0.020273088,1392155,0.043384843,1392155,1.02639401,1392155,5.283299446,1392155,3.841386318,1392155,1.636215568,,,
1392655,0.065028705,1392655,0.063335784,1392655,0.92615515,1392655,17.90136719,1392655,-4.363105774,1392655,-5.179818153,,,
1393155,0.00449474,1393155,0.023748551,1393155,1.019328117,1393155,-4.658799648,1393155,24.16791916,1393155,4.711669445,,,
1393655,0.030614195,1393655,-0.079881355,1393655,1.008642912,1393655,-14.05975437,1393655,-5.915081501,1393655,1.455617309,,,
1394155,-0.011840479,1394155,0.013761099,1394155,0.957141757,1394155,-2.573649168,1394155,15.57738018,1394155,-0.546340346,,,
1394655,-0.096523806,1394655,0.056345094,1394655,1.062853336,1394655,8.86387825,1394655,-3.676614285,1394655,2.321368694,,,
1395155,0.03325884,1395155,0.01085499,1395155,0.922415376,1395155,12.87284374,1395155,9.110277176,1395155,-5.991881847,,,
1395655,-0.005249662,1395655,0.034116093,1395655,1.024444222,1395655,6.659589767,1395655,29.241436,1395655,0.829685032,,,
1396155,-0.04787083,1396155,0.025339725,1396155,0.972911537,1396155,5.77989006,1396155,0.586253047,1396155,-1.89216733,,,
1396655,-0.00036185,1396655,0.237165555,1396655,1.049428344,1396655,-8.865142822,1396655,-5.262043476,1396655,-5.15778923,,,
1397155,-0.261030287,1397155,-0.133673877,1397155,0.86713469,1397155,5.405889511,1397155,-5.286602497,1397155,-5.917219639,,,
1397655,-0.001454517,1397655,-0.014253107,1397655,1.006007791,1397655,-5.815546036,1397655,-2.380409241,1397655,2.421099663,,,
1398155,0.055771913,1398155,-0.369317353,1398155,1.019312263,1398155,1.163464069,1398155,-0.871253908,1398155,1.296738505,,,
1398655,-0.232220694,1398655,0.071970612,1398655,0.878426492,1398655,-0.721402943,1398655,-2.254007578,1398655,-2.001972437,,,
1399155,-0.128448978,1399155,0.015328091,1399155,1.025605917,1399155,16.78409576,1399155,4.831427574,1399155,3.816428185,,,
1399655,-0.00878991,1399655,-0.213798836,1399655,0.902495325,1399655,-0.047304101,1399655,-6.909298897,1399655,1.075082779,,,
