time,acc.x_y,acc.y_y,acc.z_y,gyro.x_y,gyro.y_y,gyro.z_y,,time,x acc,acc.z_y,gyro.z_y
4281051,-0.171129927,-0.407026678,0.899069428,30.42462349,-83.29323578,3.423384905,,4.281051,-171.129927,0.899069428,3.423384905
4281151,0.041389067,0.040265705,1.08241272,48.16555405,-68.24840546,3.211352587,,4.281151,41.38906673,1.08241272,3.211352587
4281251,0.051162038,0.056879442,0.950765789,-42.90621567,137.9752808,3.29809761,,4.281251,51.162038,0.950765789,3.29809761
4281351,-0.007001645,0.010463978,0.970117867,-26.77865028,52.47590256,-5.783582211,,4.281351,-7.001644932,0.970117867,-5.783582211
4281451,-0.069724306,-0.194227725,0.850672126,3.282073736,25.97263527,-5.039663792,,4.281451,-69.72430646,0.850672126,-5.039663792
4281551,0.005113899,-0.140394688,1.063235402,-16.6080246,70.21637726,-4.528030396,,4.281551,5.113899242,1.063235402,-4.528030396
4281651,0.029208098,0.075871952,1.110098362,-26.32186699,53.4792099,-0.998860538,,4.281651,29.20809761,1.110098362,-0.998860538
4281751,-0.161236137,0.043134511,0.939657807,9.581819534,-88.40177917,-2.831916571,,4.281751,-161.2361372,0.939657807,-2.831916571
4281851,0.049076356,0.06756109,1.055184603,-10.6251688,-13.28678608,-0.40095818,,4.281851,49.07635599,1.055184603,-0.40095818
4281951,0.022014214,0.002525361,0.974653482,-3.582168102,-12.60342598,-3.082971096,,4.281951,22.01421373,0.974653482,-3.082971096
4282051,0.156913593,0.174498692,1.064102054,-0.843518913,-40.9748764,-0.755821168,,4.282051,156.9135934,1.064102054,-0.755821168
4282151,0.03114727,0.266253531,0.958945036,-14.14118767,-55.14749908,-3.846541882,,4.282151,31.14726953,0.958945036,-3.846541882
4282251,-0.011194663,-0.109098673,1.023384213,14.73675919,65.277565,-2.157727003,,4.282251,-11.19466312,1.023384213,-2.157727003
4282351,-0.011319757,-0.083384469,1.043353319,0.419071794,12.99278355,0.736363828,,4.282351,-11.31975651,1.043353319,0.736363828
4282451,-0.047836177,-0.152564526,1.015767097,1.844696879,28.88624191,3.192187786,,4.282451,-47.83617705,1.015767097,3.192187786
4282551,-0.006741706,0.035291586,1.026698589,-8.733570099,80.91332245,6.403728485,,4.282551,-6.741705816,1.026698589,6.403728485
4282651,0.050972469,0.00072641,0.935697794,4.408372402,13.11039448,3.822425127,,4.282651,50.97246915,0.935697794,3.822425127
4282751,0.019036738,-0.020768987,0.970557034,7.691875935,-17.8231926,-0.430064172,,4.282751,19.0367382,0.970557034,-0.430064172
4282851,-0.057427514,-0.100197256,0.843249559,4.831923962,-27.2151165,0.897524655,,4.282851,-57.42751434,0.843249559,0.897524655
4282951,0.086974263,0.186352074,0.905714035,11.99061966,-11.20017815,0.874098837,,4.282951,86.97426319,0.905714035,0.874098837
