"acc.x_x","acc.x_y","acc.y_x","acc.y_y","acc.z_x","acc.z_y","gyro.x_x","gyro.x_y","gyro.y_x","gyro.y_y","gyro.z_x","gyro.z_y"
224955,-0.01730762795,224955,0.01463347301,224955,0.9950804114,224955,0.1257096678,224955,-0.175746873,224955,0.0568193458,
225055,-0.01817935705,225055,0.01199062914,225055,0.994112432,225055,-0.03034755774,225055,-0.08595650643,225055,0.1675000042,
225155,-0.01708974876,225155,0.01102326997,225155,0.9873721004,225155,0.1777915955,225155,-0.03486797586,225155,0.02611443773,
225255,-0.01872760989,225255,0.01505208667,225255,0.9944854379,225255,0.06915082037,225255,-0.009162139148,225255,0.1709955335,
225355,-0.01807972044,225355,0.01465469506,225355,0.9884291291,225355,0.0705916211,225355,-0.09189971536,225355,0.1683466882,
225455,-0.01785951294,225455,0.01465586759,225455,0.9932520986,225455,0.1214999706,225455,-0.009398268536,225455,0.3007709384,
225555,-0.0182259623,225555,0.01504442468,225555,0.9909100533,225555,0.05244260281,225555,-0.03905676678,225555,0.1989710927,
225655,-0.01890132204,225655,0.01310759038,225655,0.9886101484,225655,0.1645609289,225655,-0.03408174217,225655,0.1601040065,
225755,-0.01665106229,225755,0.01449259557,225755,0.9969642758,225755,0.09067714959,225755,-0.08869894594,225755,0.06144184992,
225855,-0.01926125772,225855,0.01228363626,225855,0.9923067093,225855,0.1319644302,225855,-0.01823710836,225855,0.04190732539,
225955,-0.01799505018,225955,0.0135244783,225955,0.9915184379,225955,0.1490772814,225955,-0.02873859368,225955,0.28336972,
226055,-0.0186887607,226055,0.01371460594,226055,0.9922320843,226055,0.1534010321,226055,-0.005942369811,226055,0.159978345,
226155,-0.01880094036,226155,0.01393356267,226155,0.9933646321,226155,0.07473183423,226155,-0.01832479425,226155,0.2536062002,
226255,-0.01881357469,226255,0.01450769603,226255,0.9907428026,226255,0.1446700692,226255,-0.1203444898,226255,0.2559825778,
226355,-0.01963832788,226355,0.01543554012,226355,0.9940066934,226355,0.008153690957,226355,-0.1019404233,226355,0.04911959916,
226455,-0.01819436438,226455,0.01329779159,226455,0.9898914099,226455,0.03262188658,226455,-0.2191080898,226455,0.08549319953,
226555,-0.01997536048,226555,0.01403408032,226555,0.9945694804,226555,0.0932181105,226555,-0.08144715428,226555,0.03927322105,
226655,-0.01783458516,226655,0.01449540071,226655,0.9910593629,226655,0.1065923944,226655,-0.05723823607,226655,0.03664386272,
226755,-0.01871650852,226755,0.01433586981,226755,0.9943100214,226755,-0.008846700191,226755,-0.01437119115,226755,0.1345748007,
226855,-0.01916852593,226855,0.01411589235,226855,0.9949670434,226855,0.05257184058,226855,-0.0735046193,226855,0.2356551439,
226955,-0.02045879886,226955,0.01336425077,226955,0.9965195656,226955,0.0430846177,226955,-0.1811662018,226955,0.1703370959,
227055,-0.01865012757,227055,0.01339206379,227055,0.9889988899,227055,-0.007977542467,227055,-0.06807570159,227055,0.1310240179,
227155,-0.01935120672,227155,0.01421684586,227155,0.9966211915,227155,0.1084943116,227155,-0.09481547028,227155,0.08238102496,
227255,-0.01915161125,227255,0.01364316326,227255,0.9904934764,227255,0.02263819799,227255,-0.0472031422,227255,0.2315661609,
227355,-0.01814590022,227355,0.01454913337,227355,0.9944706559,227355,0.04254764691,227355,-0.09609883279,227355,0.1692364961,
227455,-0.01917088032,227455,0.01343779638,227455,0.9824553132,227455,-0.01907318458,227455,-0.253595084,227455,0.1525946856,
227555,-0.01863596588,227555,0.01457291562,227555,0.9964665771,227555,0.1133872494,227555,-0.1752443016,227555,-0.003886239138,
227655,-0.01796887256,227655,0.01273213606,227655,0.9878184199,227655,0.008863070048,227655,-0.1064477712,227655,0.1306501478,
227755,-0.01805847324,227755,0.01237187069,227755,0.9925958514,227755,0.1626380086,227755,-0.1786951274,227755,0.2143309563,
227855,-0.0190251898,227855,0.01388614997,227855,0.9918621182,227855,0.06954570115,227855,-0.01774588972,227855,0.0811207667,
227955,-0.01852765493,227955,0.01467156596,227955,0.9948673844,227955,0.1506586224,227955,0.05050699413,227955,0.07018830627,
228055,-0.01864470914,228055,0.01344177127,228055,0.992862463,228055,0.1304746419,228055,-0.003076573135,228055,0.1581061035,
228155,-0.01918193698,228155,0.01193627156,228155,0.9966793656,228155,0.03287201747,228155,-0.08458928019,228155,0.1277303398,
228255,-0.01872737147,228255,0.01393835992,228255,0.9937916398,228255,0.1256128997,228255,-0.02500305139,228255,0.1378896683,
228355,-0.01900216751,228355,0.01187964156,228355,0.9925192595,228355,0.1638797075,228355,-0.0744933784,228355,0.1372200102,
228455,-0.01944319345,228455,0.01360126864,228455,0.9940829277,228455,0.06765331328,228455,-0.05198150128,228455,0.2573229671,
228555,-0.01922668144,228555,0.01198190544,228555,0.9927392602,228555,0.187861219,228555,0.001495992765,228555,0.1719651371,
228655,-0.01920345984,228655,0.01342092361,228655,0.9952300191,228655,0.1437631696,228655,-0.09619461745,228655,0.1527583152,
228755,-0.01764879376,228755,0.01371949818,228755,0.9927415252,228755,0.1321071535,228755,-0.08785861731,228755,0.1168776676,
228855,-0.01911165565,228855,0.01237899624,228855,0.9934033155,228855,0.02753883228,228855,-0.06711535901,228855,0.09143248945,
228955,-0.01928689517,228955,0.01309321914,228955,0.994233489,228955,0.009096688591,228955,-0.03810423985,228955,0.1743958294,
229055,-0.01868011057,229055,0.01367736701,229055,0.9930025339,229055,0.06896744668,229055,-0.01165634021,229055,0.2183695138,
229155,-0.01894465089,229155,0.01393382996,229155,0.993314743,229155,0.04325240478,229155,-0.08461378515,229155,0.1378794461,
229255,-0.01764316671,229255,0.01439903583,229255,0.9941280484,229255,0.1785801649,229255,-0.1207456365,229255,0.07528457046,
229355,-0.02041128092,229355,0.01294798963,229355,0.9933968186,229355,0.1528967023,229355,-0.07803135365,229355,0.1111104488,
229455,-0.01899932325,229455,0.01373008173,229455,0.9935305119,229455,-0.01460245438,229455,-0.09663181752,229455,0.1708468348,
229555,-0.01804275066,229555,0.01458891295,229555,0.9932563305,229555,0.08329931647,229555,-0.08662812412,229555,0.1681851,
229655,-0.01850858331,229655,0.0138051752,229655,0.9896957874,229655,0.05363970995,229655,-0.03556656092,229655,0.04890263826,
229755,-0.02154411562,229755,0.01378657203,229755,0.9915602207,229755,0.1106828004,229755,-0.1210891083,229755,0.2099838257,
229855,-0.01944923215,229855,0.01418855041,229855,0.9948853254,229855,0.03461827338,229855,-0.1044246703,229855,0.1418949515,
229955,-0.01893822849,229955,0.01371259894,229955,0.9929782152,229955,0.1322076917,229955,-0.003030070104,229955,0.1430867612,
230055,-0.01935465448,230055,0.01289764326,230055,0.993485868,230055,0.01862229779,230055,-0.08941622078,230055,0.1140121743,
230155,-0.0186921116,230155,0.01199835353,230155,0.9913899899,230155,0.1063823625,230155,-0.02798731998,230155,0.1038231552,
230255,-0.01785798371,230255,0.01094439719,230255,0.9937502146,230255,0.09000908583,230255,0.01492853183,230255,0.09478917718,
230355,-0.01871910319,230355,0.01431047823,230355,0.9933166504,230355,0.07409206033,230355,-0.008295439184,230355,0.1605594903,
230455,-0.01916805841,230455,0.01422377396,230455,0.9952749014,230455,0.0484996587,230455,-0.1842726767,230455,0.2442537546,
230555,-0.01880025491,230555,0.01310811378,230555,0.9954976439,230555,0.04435458407,230555,-0.0583012104,230555,0.121165365,
230655,-0.01933997497,230655,0.01363051124,230655,0.9936968684,230655,0.09780935198,230655,-0.06830263883,230655,0.2195559144,
230755,-0.01885420457,230755,0.01312259305,230755,0.9921237826,230755,0.2002508789,230755,-0.09514972568,230755,0.1105913147,
230855,-0.01867348887,230855,0.01278012432,230855,0.9906811118,230855,0.1319308132,230855,-0.08835308254,230855,0.1104155779,
230955,-0.01967178844,230955,0.01286841184,230955,0.9915321469,230955,0.1518628746,230955,-0.03962581977,230955,0.1768397987,
231055,-0.01963432692,231055,0.01360890083,231055,0.9922654629,231055,0.0695624873,231055,-0.1168893129,231055,0.1203875393,
231155,-0.02115008608,231155,0.01239281148,231155,0.9919373989,231155,0.1251144111,231155,-0.0703555122,231155,0.1252258122,
231255,-0.01809709147,231255,0.01324251294,231255,0.9909723997,231255,0.06919419765,231255,-0.1434932798,231255,0.2780931592,
231355,-0.01845937409,231355,0.01338382438,231355,0.9920507669,231355,0.06356484443,231355,-0.07486832887,231355,0.1603522897,
231455,-0.01969216205,231455,0.01281245891,231455,0.9935061932,231455,-0.01162711903,231455,-0.08075790852,231455,0.148586005,
231555,-0.01903630234,231555,0.01250950154,231555,0.9914512634,231555,0.09806337208,231555,-0.09438037127,231555,0.1071524099,
231655,-0.01988533512,231655,0.01343784202,231655,0.9946503043,231655,0.1717972606,231655,-0.1271034926,231655,0.09497382492,
231755,-0.01870254613,231755,0.01404896937,231755,0.992313087,231755,0.06185450405,231755,-0.1014768407,231755,0.09550661594,
231855,-0.01883357391,231855,0.01389744692,231855,0.9932102561,231855,0.1687203795,231855,-0.02127382718,231855,0.2577866316,
231955,-0.01907996461,231955,0.01255791076,231955,0.9981931448,231955,0.02701713517,231955,-0.06478856504,231955,0.1920209974,
232055,-0.01867627352,232055,0.01383342501,232055,0.9910870194,232055,0.1548387557,232055,-0.03640681505,232055,0.1195901781,
232155,-0.01885873266,232155,0.01356260106,232155,0.9944485426,232155,0.07275421172,232155,-0.04283375666,232155,0.1480798274,
232255,-0.01838254929,232255,0.01363485307,232255,0.9924163818,232255,0.06524085253,232255,-0.02536745742,232255,0.160317108,
232355,-0.02080769651,232355,0.01246069558,232355,0.9927783012,232355,0.1183124557,232355,-0.116747357,232355,0.09153850377,
232455,-0.01833286695,232455,0.01236269251,232455,0.991972208,232455,0.1383281648,232455,-0.1356769204,232455,0.1775385439,
232555,-0.01819542237,232555,0.01348664891,232555,0.9934355617,232555,-0.008545764722,232555,-0.1000685692,232555,0.1260652542,
232655,-0.01999891363,232655,0.01386212185,232655,0.9936339259,232655,0.12722601,232655,-0.01680437848,232655,0.06032375246,
232755,-0.01920861006,232755,0.01288617309,232755,0.993921876,232755,0.2011290342,232755,-0.0627592355,232755,0.09418740869,
232855,-0.01936201379,232855,0.01319784671,232855,0.9914262891,232855,0.1142842248,232855,-0.09816290438,232855,0.05028072,
232955,-0.02038506418,232955,0.01330213808,232955,0.9920122027,232955,0.02404074185,232955,-0.07133225352,232955,0.1117062718,
233055,-0.01818280295,233055,0.01229757164,233055,0.9925401211,233055,0.1028488353,233055,-0.1269264966,233055,0.1153740883,
233155,-0.01843936369,233155,0.01329564769,233155,0.9944617748,233155,0.1028107181,233155,0.005054292269,233155,0.1275080293,
233255,-0.01949572004,233255,0.01339333691,233255,0.9922389984,233255,0.002631990472,233255,-0.09183674306,233255,0.09197004139,
233355,-0.01861722581,233355,0.01200011186,233355,0.994946003,233355,0.1127611846,233355,-0.02960152924,233355,0.102237612,
233455,-0.0185317304,233455,0.01215053629,233455,0.9925064445,233455,0.1250287294,233455,-0.08310250193,233455,0.1782600731,
233555,-0.01908940822,233555,0.01225319225,233555,0.9925612807,233555,0.1250621527,233555,-0.1041544527,233555,0.1452585012,
233655,-0.01944748312,233655,0.01419365779,233655,0.9910620451,233655,0.1001461521,233655,-0.1132861748,233655,0.05903794616,
233755,-0.01859689876,233755,0.01346656308,233755,0.992744267,233755,0.04851236939,233755,-0.08001292497,233755,0.1371783763,
233855,-0.01903713308,233855,0.01316613145,233855,0.9954380989,233855,-0.01377739199,233855,-0.08766230196,233855,0.1437557936,
